,time,temperature_2m,relativehumidity_2m,apparent_temperature,surface_pressure,snowfall,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,windspeed_10m,winddirection_10m,et0_fao_evapotranspiration,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,days_since_Jan1_2000,season
45728,2018-11-14T13:00,-6.2,49,-14.4,979.8,0.0,376.0,186.0,190.0,528.6,23.4,304,0.07,0.7,0.261,6892.541666666667,Fall
49785,2018-12-12T17:00,-11.0,81,-16.5,975.4,0.0,0.0,0.0,0.0,2.4,8.8,325,0.0,1.6,0.241,6920.708333333333,Fall
50277,2018-12-16T03:00,-8.4,93,-8.1,995.7,0.0,0.0,0.0,0.0,0.0,5.5,122,0.0,2.3,0.259,6924.125,Fall
44494,2018-11-05T23:00,3.2,100,1.7,995.1,0.0,0.0,0.0,0.0,0.0,10.8,154,0.0,2.6,0.289,6883.958333333333,Fall
44410,2018-11-05T09:00,3.7,86,0.7,1008.5,0.0,83.0,3.0,80.0,4.9,12.3,97,0.04,4.3,0.275,6883.375,Fall
48002,2018-11-30T08:00,-3.0,96,-2.9,989.2,0.0,18.0,3.0,15.0,0.0,3.3,283,0.01,3.7,0.253,6908.333333333333,Fall
47835,2018-11-29T04:00,0.1,89,-2.3,973.4,0.0,0.0,0.0,0.0,0.0,12.3,322,0.0,3.6,0.342,6907.166666666667,Fall
44324,2018-11-04T19:00,4.8,69,1.2,1010.6,0.0,0.0,0.0,0.0,0.0,7.4,39,0.01,6.1,0.282,6882.791666666667,Fall
46408,2018-11-19T06:00,-4.0,89,-7.7,989.2,0.07,0.0,0.0,0.0,0.0,9.9,170,0.0,2.2,0.238,6897.25,Fall
43148,2018-10-27T15:00,2.4,97,-0.9,997.5,0.28,36.0,0.0,36.0,0.0,10.5,31,0.02,7.7,0.26,6874.625,Fall
37827,2018-09-20T16:00,16.9,64,17.1,996.9,0.0,103.0,7.0,96.0,12.3,5.6,345,0.1,16.4,0.145,6837.666666666667,Fall
41219,2018-10-14T05:00,4.6,88,0.4,998.1,0.0,0.0,0.0,0.0,0.0,5.7,235,0.0,5.3,0.274,6861.208333333333,Fall
48830,2018-12-06T02:00,-6.6,93,-10.6,986.7,0.07,0.0,0.0,0.0,0.0,7.2,153,0.0,3.6,0.266,6914.083333333333,Fall
38181,2018-09-23T03:00,9.7,86,3.2,1006.1,0.0,0.0,0.0,0.0,0.0,4.3,180,0.0,14.0,0.182,6840.125,Fall
47016,2018-11-23T12:00,-8.1,52,-11.1,983.4,0.0,446.0,347.0,99.0,741.2,6.1,242,0.1,2.1,0.233,6901.5,Fall
42189,2018-10-20T23:00,6.1,79,2.0,957.7,0.0,0.0,0.0,0.0,0.0,8.7,318,0.0,6.9,0.251,6867.958333333333,Fall
50707,2018-12-19T03:00,-10.1,70,-13.8,985.3,0.0,0.0,0.0,0.0,0.0,4.9,216,0.0,0.5,0.325,6927.125,Fall
39960,2018-10-05T12:00,11.5,42,10.9,978.7,0.0,687.0,600.0,87.0,914.0,5.8,4,0.35,11.9,0.271,6852.5,Fall
49914,2018-12-13T15:00,-2.7,55,-8.5,1012.1,0.0,145.0,71.0,74.0,435.7,11.8,157,0.05,2.6,0.236,6921.625,Fall
39278,2018-09-30T18:00,13.6,68,11.6,1007.5,0.0,4.0,0.0,4.0,0.0,3.3,103,0.02,16.4,0.225,6847.75,Fall
43565,2018-10-30T12:00,4.7,62,1.4,983.7,0.0,282.0,76.0,206.0,128.6,11.6,300,0.12,4.9,0.346,6877.5,Fall
41200,2018-10-14T02:00,2.8,80,-1.8,987.5,0.0,0.0,0.0,0.0,0.0,10.2,260,0.01,4.6,0.275,6861.083333333333,Fall
40367,2018-10-08T07:00,9.0,87,7.3,1013.8,0.0,17.0,7.0,10.0,0.0,4.0,63,0.02,13.3,0.257,6855.291666666667,Fall
40910,2018-10-12T02:00,14.4,97,13.7,957.0,0.0,0.0,0.0,0.0,0.0,12.5,319,0.0,14.8,0.31,6859.083333333333,Fall
39201,2018-09-30T05:00,8.4,96,6.1,996.2,0.0,0.0,0.0,0.0,0.0,7.7,221,0.0,8.9,0.252,6847.208333333333,Fall
47947,2018-11-29T23:00,-1.4,95,-2.0,968.3,0.0,0.0,0.0,0.0,0.0,8.2,319,0.0,4.1,0.254,6907.958333333333,Fall
47865,2018-11-29T09:00,0.4,84,-2.0,977.2,0.0,73.0,11.0,62.0,45.0,11.2,310,0.04,3.6,0.34,6907.375,Fall
